                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.94054,                0.52149,                 1.2576,                0.99775,                0.99868,                0.99438,                0.76639,                0.98719,                 0.3665,                 1.4462,              0.0058915,              0.0058915,              0.0058915
                     85,                0.93119,                0.50722,                  1.244,                0.99766,                0.99868,                0.99451,                0.75436,                0.99964,                0.37343,                 1.4609,               0.005842,               0.005842,               0.005842
                     86,                0.93452,                0.50829,                 1.2522,                0.99752,                0.99801,                0.99427,                0.76416,                0.99154,                0.37338,                 1.4565,              0.0057925,              0.0057925,              0.0057925
                     87,                0.91743,                0.49909,                 1.2415,                 0.9963,                0.99806,                 0.9943,                0.76493,                0.98783,                 0.3588,                 1.4458,               0.005743,               0.005743,               0.005743
                     88,                0.92891,                0.50442,                 1.2425,                0.99704,                0.99803,                0.99443,                0.76433,                0.99743,                0.37035,                 1.4588,              0.0056935,              0.0056935,              0.0056935
                     89,                0.92397,                0.50075,                 1.2358,                0.99595,                0.99817,                 0.9946,                0.76112,                0.99577,                0.36569,                 1.4552,               0.005644,               0.005644,               0.005644
                     90,                0.93428,                0.50358,                 1.2514,                0.99493,                0.99698,                0.99422,                0.76592,                0.98353,                0.37048,                 1.4485,              0.0055945,              0.0055945,              0.0055945
                     91,                0.91747,                0.50586,                 1.2404,                0.99632,                0.99868,                0.99476,                0.76389,                0.98398,                0.36525,                 1.4434,               0.005545,               0.005545,               0.005545
                     92,                0.90732,                0.48645,                 1.2246,                0.98935,                0.98735,                 0.9929,                0.76183,                0.99466,                0.38403,                 1.4621,              0.0054955,              0.0054955,              0.0054955
                     93,                0.89754,                0.48527,                 1.2319,                0.99504,                0.99578,                0.99445,                0.76279,                0.97733,                0.36622,                 1.4423,               0.005446,               0.005446,               0.005446
                     94,                0.91514,                 0.4989,                 1.2238,                0.99378,                0.99598,                 0.9943,                0.76519,                0.97474,                0.37127,                 1.4406,              0.0053965,              0.0053965,              0.0053965
                     95,                0.91229,                0.48881,                 1.2308,                0.99217,                0.99563,                 0.9944,                0.76484,                0.98955,                0.37614,                 1.4622,               0.005347,               0.005347,               0.005347
                     96,                0.89752,                0.48284,                 1.2312,                0.99649,                0.99729,                 0.9945,                0.76188,                 0.9955,                0.36679,                 1.4662,              0.0052975,              0.0052975,              0.0052975
                     97,                0.91778,                0.49209,                 1.2326,                0.99518,                0.99564,                0.99457,                0.76835,                0.97874,                0.36854,                 1.4446,               0.005248,               0.005248,               0.005248
                     98,                0.89407,                0.47054,                 1.2233,                0.99507,                0.99737,                0.99452,                0.76739,                0.98101,                0.35828,                 1.4457,              0.0051985,              0.0051985,              0.0051985
                     99,                  0.918,                 0.4903,                  1.239,                0.99532,                0.99628,                0.99473,                0.77071,                0.98488,                0.35888,                 1.4461,               0.005149,               0.005149,               0.005149
                    100,                0.89477,                0.47357,                 1.2243,                0.99626,                0.99673,                0.99425,                0.77123,                0.98365,                 0.3592,                 1.4456,              0.0050995,              0.0050995,              0.0050995
                    101,                0.88827,                 0.4777,                 1.2137,                0.99568,                0.99655,                0.99362,                0.76327,                0.98114,                0.36644,                 1.4567,                0.00505,                0.00505,                0.00505
                    102,                0.88978,                0.48812,                 1.2182,                0.99728,                0.99771,                0.99421,                0.77163,                0.96226,                0.34977,                 1.4324,              0.0050005,              0.0050005,              0.0050005
                    103,                0.89726,                0.48908,                 1.2315,                 0.9956,                0.99558,                0.99393,                 0.7733,                 0.9677,                0.36271,                  1.436,               0.004951,               0.004951,               0.004951
                    104,                0.88887,                  0.484,                 1.2205,                0.99312,                0.99837,                0.99443,                0.76304,                0.96697,                0.35573,                 1.4413,              0.0049015,              0.0049015,              0.0049015
                    105,                0.88928,                  0.475,                 1.2163,                0.99634,                0.99758,                 0.9943,                0.76419,                 0.9793,                0.35358,                 1.4566,               0.004852,               0.004852,               0.004852
                    106,                0.88989,                 0.4782,                 1.2164,                  0.995,                0.99757,                0.99463,                0.76849,                0.97138,                0.34887,                 1.4452,              0.0048025,              0.0048025,              0.0048025
                    107,                0.88273,                0.47696,                 1.2151,                0.99595,                0.99603,                0.99449,                0.77229,                0.95553,                 0.3485,                 1.4342,               0.004753,               0.004753,               0.004753
                    108,                0.88305,                0.47391,                 1.2143,                0.99505,                0.99638,                0.99383,                0.76768,                0.97619,                0.36165,                 1.4413,              0.0047035,              0.0047035,              0.0047035
                    109,                0.88397,                0.46538,                  1.216,                0.99431,                0.99761,                0.99448,                0.76566,                0.96985,                0.34755,                 1.4368,               0.004654,               0.004654,               0.004654
                    110,                0.87968,                0.46068,                 1.2085,                0.99704,                0.99806,                0.99437,                 0.7694,                0.96891,                0.34792,                 1.4339,              0.0046045,              0.0046045,              0.0046045
                    111,                0.88031,                0.46984,                 1.2101,                0.99593,                0.99704,                0.99352,                0.76692,                0.97813,                0.35586,                 1.4457,               0.004555,               0.004555,               0.004555
                    112,                0.87928,                0.47174,                 1.2136,                0.99683,                0.99843,                 0.9947,                0.76583,                 0.9823,                0.35072,                 1.4496,              0.0045055,              0.0045055,              0.0045055
                    113,                0.87064,                0.46183,                 1.2111,                 0.9955,                0.99801,                0.99447,                0.76261,                0.99083,                0.35281,                 1.4666,               0.004456,               0.004456,               0.004456
                    114,                0.86805,                0.46556,                  1.207,                 0.9976,                0.99776,                0.99431,                0.76871,                0.98991,                0.35769,                 1.4557,              0.0044065,              0.0044065,              0.0044065
                    115,                0.88984,                0.47076,                 1.2204,                0.99384,                0.99561,                0.99406,                0.76406,                0.97296,                0.35042,                 1.4457,               0.004357,               0.004357,               0.004357
                    116,                0.88592,                0.46874,                 1.2179,                0.99573,                0.99745,                0.99462,                0.76927,                0.98177,                0.35256,                 1.4485,              0.0043075,              0.0043075,              0.0043075
                    117,                0.86109,                0.45829,                  1.202,                0.99457,                0.99595,                0.99453,                0.77293,                0.96878,                0.35187,                 1.4433,               0.004258,               0.004258,               0.004258
                    118,                0.85211,                0.45098,                 1.1986,                0.99551,                0.99868,                0.99461,                0.77116,                0.96802,                0.34495,                 1.4431,              0.0042085,              0.0042085,              0.0042085
                    119,                 0.8546,                0.45702,                 1.1978,                0.99533,                0.99654,                0.99466,                0.77258,                0.96386,                0.34413,                 1.4343,               0.004159,               0.004159,               0.004159
                    120,                0.86278,                0.45314,                 1.2034,                0.99746,                0.99818,                 0.9948,                 0.7776,                0.95376,                0.34227,                 1.4296,              0.0041095,              0.0041095,              0.0041095
                    121,                0.85709,                0.45636,                 1.1991,                0.99726,                0.99868,                0.99436,                0.77938,                0.95394,                0.34658,                 1.4218,                0.00406,                0.00406,                0.00406
                    122,                0.84803,                0.45095,                 1.1956,                0.99752,                0.99868,                0.99457,                0.77459,                0.95244,                0.34002,                 1.4222,              0.0040105,              0.0040105,              0.0040105
                    123,                0.85725,                0.45586,                 1.2002,                0.99608,                0.99745,                0.99458,                0.77725,                0.95918,                 0.3361,                 1.4237,               0.003961,               0.003961,               0.003961
